iter	Passed	Remaining
0	145	67458
1	147	34099
2	149	22987
3	151	17424
4	153	14101
5	155	11877
6	157	10293
7	159	9102
8	161	8179
9	163	7444
10	165	6840
11	167	6331
12	169	5897
13	171	5536
14	173	5218
15	176	4939
16	178	4692
17	179	4468
18	181	4269
19	183	4091
20	186	3934
21	188	3788
22	190	3651
23	191	3524
24	193	3409
25	195	3307
26	197	3208
27	199	3115
28	201	3030
29	203	2949
30	205	2873
31	207	2801
32	209	2743
33	212	2689
34	214	2637
35	217	2591
36	220	2546
37	222	2502
38	225	2460
39	228	2424
40	230	2387
41	233	2347
42	235	2312
43	238	2278
44	240	2244
45	242	2211
46	245	2181
47	247	2150
48	249	2120
49	251	2090
50	254	2062
51	256	2034
52	258	2006
53	260	1979
54	261	1952
55	263	1925
56	265	1899
57	266	1873
58	268	1848
59	270	1823
60	271	1799
61	273	1777
62	275	1755
63	277	1735
64	278	1714
65	280	1693
66	281	1675
67	283	1655
68	285	1637
69	286	1618
70	288	1601
71	290	1585
72	292	1568
73	293	1551
74	295	1536
75	297	1520
76	298	1505
77	300	1490
78	301	1474
79	303	1460
80	305	1446
81	306	1432
82	308	1419
83	309	1405
84	311	1392
85	313	1379
86	314	1367
87	316	1355
88	318	1343
89	319	1331
90	321	1320
91	322	1309
92	324	1299
93	326	1288
94	328	1278
95	329	1268
96	331	1258
97	333	1250
98	335	1241
99	337	1231
100	339	1222
101	341	1213
102	342	1204
103	344	1195
104	346	1187
105	348	1179
106	350	1171
107	351	1162
108	353	1154
109	355	1146
110	357	1138
111	358	1131
112	360	1123
113	362	1116
114	364	1108
115	366	1101
116	367	1093
117	369	1086
118	371	1079
119	372	1071
120	374	1064
121	376	1058
122	378	1051
123	379	1044
124	381	1037
125	383	1030
126	384	1023
127	386	1017
128	388	1011
129	390	1005
130	392	1001
131	394	996
132	396	990
133	398	985
134	400	980
135	403	975
136	405	970
137	407	965
138	409	961
139	412	956
140	414	951
141	416	946
142	418	941
143	420	936
144	422	931
145	424	927
146	426	921
147	427	916
148	429	910
149	431	905
150	433	900
151	435	896
152	437	891
153	439	886
154	440	881
155	442	876
156	444	871
157	446	866
158	447	861
159	449	857
160	451	852
161	453	848
162	455	843
163	456	838
164	458	833
165	460	828
166	461	823
167	463	819
168	465	814
169	466	810
170	468	805
171	470	801
172	472	797
173	473	792
174	475	788
175	477	784
176	479	780
177	481	776
178	483	772
179	484	767
180	486	763
181	488	759
182	490	755
183	491	751
184	493	747
185	495	743
186	497	739
187	499	735
188	500	731
189	502	727
190	504	723
191	506	719
192	507	715
193	509	712
194	511	708
195	513	704
196	515	700
197	516	696
198	518	693
199	520	689
200	521	685
201	523	681
202	525	677
203	526	674
204	528	670
205	530	666
206	532	663
207	533	659
208	535	656
209	537	653
210	539	649
211	541	645
212	542	642
213	544	638
214	546	635
215	548	631
216	549	628
217	551	624
218	553	621
219	554	617
220	556	614
221	558	611
222	560	607
223	561	604
224	563	601
225	565	597
226	567	594
227	569	591
228	571	589
229	573	586
230	575	583
231	577	579
232	579	576
233	580	573
234	582	570
235	584	567
236	586	564
237	588	561
238	590	558
239	592	555
240	593	552
241	595	548
242	597	545
243	599	542
244	601	539
245	603	536
246	604	533
247	606	530
248	608	527
249	609	524
250	612	521
251	613	518
252	615	516
253	617	513
254	619	509
255	620	506
256	622	503
257	624	500
258	626	498
259	628	495
260	630	492
261	632	489
262	634	487
263	635	484
264	637	481
265	639	478
266	641	475
267	643	473
268	645	470
269	647	467
270	649	464
271	651	462
272	652	459
273	654	456
274	656	453
275	658	451
276	660	448
277	662	445
278	664	442
279	665	439
280	667	437
281	669	434
282	671	431
283	673	429
284	675	426
285	677	423
286	679	421
287	680	418
288	682	415
289	684	412
290	685	410
291	687	407
292	689	404
293	691	402
294	693	399
295	694	396
296	696	393
297	698	391
298	699	388
299	701	386
300	703	383
301	705	380
302	707	378
303	709	375
304	711	373
305	712	370
306	715	367
307	716	365
308	718	362
309	720	360
310	722	357
311	723	355
312	725	352
313	727	349
314	729	347
315	730	344
316	732	342
317	734	339
318	736	336
319	737	334
320	739	331
321	741	329
322	742	326
323	744	324
324	746	321
325	748	319
326	749	316
327	751	314
328	753	311
329	755	308
330	757	306
331	759	304
332	761	301
333	762	299
334	764	296
335	766	294
336	768	291
337	770	289
338	772	286
339	773	284
340	775	282
341	777	279
342	779	277
343	781	274
344	782	272
345	784	269
346	786	267
347	788	265
348	790	262
349	792	260
350	794	258
351	796	255
352	798	253
353	800	250
354	802	248
355	804	246
356	805	243
357	807	241
358	809	238
359	810	236
360	812	234
361	814	231
362	815	229
363	817	226
364	818	224
365	820	221
366	822	219
367	824	217
368	826	214
369	827	212
370	829	210
371	831	207
372	833	205
373	835	203
374	836	200
375	838	198
376	840	196
377	842	193
378	844	191
379	846	189
380	848	187
381	850	184
382	852	182
383	853	180
384	855	177
385	857	175
386	858	173
387	860	170
388	862	168
389	864	166
390	866	163
391	867	161
392	869	159
393	871	157
394	873	154
395	874	152
396	876	150
397	878	147
398	880	145
399	882	143
400	884	141
401	885	138
402	887	136
403	889	134
404	891	132
405	893	129
406	895	127
407	896	125
408	898	122
409	900	120
410	901	118
411	903	116
412	905	113
413	907	111
414	909	109
415	910	107
416	912	105
417	914	102
418	915	100
419	917	98
420	919	96
421	921	93
422	923	91
423	924	89
424	926	87
425	927	84
426	929	82
427	931	80
428	933	78
429	935	76
430	937	73
431	939	71
432	941	69
433	943	67
434	944	65
435	946	62
436	948	60
437	950	58
438	952	56
439	953	54
440	955	52
441	957	49
442	958	47
443	960	45
444	962	43
445	964	41
446	965	38
447	967	36
448	969	34
449	970	32
450	972	30
451	974	28
452	976	25
453	978	23
454	979	21
455	981	19
456	983	17
457	985	15
458	986	12
459	988	10
460	989	8
461	991	6
462	993	4
463	994	2
464	996	0
