iter	MultiClass
0	1.605909904
1	1.481094411
2	1.388771497
3	1.320688691
4	1.261705459
5	1.213792118
6	1.172139682
7	1.134445043
8	1.101295003
9	1.072358243
10	1.044357418
11	1.020859478
12	0.9993860769
13	0.9804435173
14	0.9616805979
15	0.9396024808
16	0.9238834504
17	0.9065670597
18	0.8936635347
19	0.8815361613
20	0.867194809
21	0.8525987269
22	0.842311413
23	0.8313312878
24	0.8178102311
25	0.8082492201
26	0.7998104249
27	0.7897840774
28	0.7829298563
29	0.7760944206
30	0.7657926381
31	0.7580196272
32	0.7499099657
33	0.7425765899
34	0.7348971301
35	0.7284594945
36	0.721285851
37	0.7163186104
38	0.7091719501
39	0.7036849034
40	0.6985866706
41	0.6935390096
42	0.6887413101
43	0.6841663582
44	0.679537227
45	0.6753503629
46	0.6711442751
47	0.6671666535
48	0.6639897033
49	0.6599491724
50	0.6558900564
51	0.6515200391
52	0.6479971298
53	0.6446393294
54	0.6404848369
55	0.6368962829
56	0.6339080281
57	0.6294304077
58	0.6281011582
59	0.6242769425
60	0.6204851772
61	0.6168028557
62	0.614243727
63	0.611865858
64	0.608714384
65	0.6033672636
66	0.6016046521
67	0.5991745298
68	0.5961578345
69	0.5937262026
70	0.591922224
71	0.5898029144
72	0.5868971325
73	0.5851684323
74	0.5826646641
75	0.5803608608
76	0.5780285433
77	0.5757527875
78	0.5740338487
79	0.5727514077
80	0.5706705328
81	0.5695376401
82	0.5672273783
83	0.5656802274
84	0.5640624056
85	0.5623748252
86	0.5617000098
87	0.5598513241
88	0.5584453628
89	0.557608269
90	0.5567043445
91	0.5552115722
92	0.5535348545
93	0.5516267568
94	0.5503523356
95	0.5485525598
96	0.547523037
97	0.5462867458
98	0.5453654161
99	0.5447941123
100	0.5429135971
101	0.541531979
102	0.5400209738
103	0.5386914539
104	0.5375005362
105	0.5366672317
106	0.5357272857
107	0.5324882583
108	0.5312244631
109	0.5301530559
110	0.5286833148
111	0.5277108958
112	0.5259146679
113	0.5250107043
114	0.5240257972
115	0.522927428
116	0.522003649
117	0.5214398954
118	0.520720388
119	0.5202651444
120	0.5197645479
121	0.5189724186
122	0.5176014978
123	0.5169016494
124	0.5159766229
125	0.5152840334
126	0.5144793626
127	0.5135185858
128	0.5122937038
129	0.5107508359
130	0.5100413032
131	0.5094007508
132	0.5082146808
133	0.5076577239
134	0.5071914254
135	0.5068091468
136	0.506127281
137	0.505592869
138	0.5048427331
139	0.5045140383
140	0.5038606028
141	0.5032148616
142	0.5029238441
143	0.5022705904
144	0.5019408776
145	0.5016583812
146	0.5007363004
147	0.499746045
148	0.4994257243
149	0.4990874242
150	0.4984515887
151	0.4980736635
152	0.4971732233
153	0.4970643699
154	0.4963655833
155	0.495481381
156	0.4947370771
157	0.493947929
158	0.4938665867
159	0.4936168454
160	0.4926054367
161	0.4920493804
162	0.4913481362
163	0.4903546054
164	0.4899013785
165	0.4894594476
166	0.4885435791
167	0.4879099189
168	0.4876263492
169	0.4870981515
170	0.4865236285
171	0.4862066987
172	0.48605829
173	0.485639584
174	0.4851192733
175	0.4848056298
176	0.4846636805
177	0.4845739297
178	0.4837701894
179	0.4836161656
180	0.4829971558
181	0.4828240519
182	0.4823762481
183	0.482257382
184	0.4820778475
185	0.4818433702
186	0.4817123142
187	0.4809675494
188	0.4802670259
189	0.4801261885
190	0.4798141147
191	0.4796236759
192	0.479358642
193	0.4790893255
194	0.4780876138
195	0.4776955858
196	0.477538328
197	0.4772821924
198	0.4770468561
199	0.4761170705
200	0.4756656573
201	0.4755450334
202	0.4752125732
203	0.4750192445
204	0.4749302354
205	0.4746548653
206	0.4745763715
207	0.4744725351
208	0.4742423473
209	0.474141942
210	0.474074512
211	0.4740028415
212	0.4738290457
213	0.4737378934
214	0.4736078073
215	0.4735278444
216	0.4733340923
217	0.4731296146
218	0.4730366965
219	0.4727848876
220	0.4726347498
221	0.4721036253
222	0.4717123981
223	0.471476352
224	0.4714170467
225	0.471157045
226	0.4709480314
227	0.4708287341
228	0.4707288252
229	0.4706389403
230	0.4702968101
231	0.4699840763
232	0.4698878479
233	0.4696932987
234	0.4694258531
235	0.4693264009
236	0.469242994
237	0.469198763
238	0.469129353
239	0.4690415912
240	0.4689521456
241	0.4687978442
242	0.4687473297
243	0.4686628592
244	0.468394979
245	0.4679757803
246	0.4679116686
247	0.4677629786
248	0.4676745996
249	0.467505903
250	0.4674542006
251	0.4673634044
252	0.4671721919
253	0.4669875934
254	0.4667283375
255	0.4666945017
256	0.466567567
257	0.4664505843
258	0.4664080176
259	0.4663186027
260	0.4662506406
261	0.4658360249
262	0.4657422524
263	0.465676547
264	0.4655877187
265	0.4654810938
266	0.4654244476
267	0.4645416981
268	0.4644764873
269	0.4644483279
270	0.4634911059
271	0.463366571
272	0.4632376149
273	0.4631400535
274	0.4630043263
275	0.4628664191
276	0.4628216765
277	0.4627537984
278	0.4627158055
279	0.4626378347
280	0.4623924681
281	0.462340368
282	0.4622865338
283	0.4622381855
284	0.461825306
285	0.4616751457
286	0.4615873767
287	0.4615024551
288	0.4614197014
289	0.4613788519
290	0.4612654034
291	0.4612025782
292	0.4611466304
293	0.4610919059
294	0.4610411229
295	0.4609529586
296	0.4607629481
297	0.4607394528
298	0.4604100611
299	0.4603804771
300	0.4603074068
301	0.4602491455
302	0.460214325
303	0.4601737715
304	0.4601219332
305	0.4599752433
306	0.4599074264
307	0.4597917382
308	0.4597337584
309	0.4597027763
310	0.4596698937
311	0.4596230263
312	0.4595275853
313	0.4594660237
314	0.4592396966
315	0.4591830239
316	0.4590826666
317	0.4590468004
318	0.4589583306
319	0.4584974077
320	0.4581965267
321	0.4581319783
322	0.4580660768
323	0.4576179854
324	0.4575838527
325	0.4575264861
326	0.4574975301
327	0.457381172
328	0.4569983199
329	0.4569313927
330	0.4568903426
331	0.4568417693
332	0.4567734607
333	0.4567073093
334	0.4566496736
335	0.4566148453
336	0.4565703008
337	0.4562912112
338	0.4551377616
339	0.4551017484
340	0.4550568474
341	0.4550025463
342	0.454863178
343	0.454799224
344	0.4545934083
345	0.4545309343
346	0.4544485788
347	0.4544153003
348	0.4543271486
349	0.4542992755
350	0.4542485719
351	0.4541960093
352	0.4541557748
353	0.4540820622
354	0.4540635147
355	0.454037098
356	0.4538694151
357	0.4538415893
358	0.4538208586
359	0.4537912364
360	0.4537625049
361	0.453721603
362	0.4536795873
363	0.4535825593
364	0.4535422326
365	0.4534296378
366	0.4533589624
367	0.4532599108
368	0.453175894
369	0.4531009562
370	0.4530588046
371	0.4529924444
372	0.452659712
373	0.4526074271
374	0.4525857463
375	0.4523063519
376	0.4516539257
377	0.4515670153
378	0.4515443003
379	0.4514609321
380	0.4514058073
381	0.4510208443
382	0.4509647341
383	0.4508588214
384	0.4508148011
385	0.4505251164
386	0.4504743312
387	0.4504180238
388	0.450363514
389	0.450200159
390	0.4501373701
391	0.4501091663
392	0.4500700643
393	0.450031527
394	0.4499653683
395	0.4498543629
396	0.4498133918
397	0.4497927419
398	0.4497360214
399	0.4496631985
400	0.4496454687
401	0.44952004
402	0.4494440097
403	0.4493789693
404	0.4493019487
405	0.4492277385
406	0.4491734684
407	0.449080127
408	0.4488565606
409	0.4488114001
410	0.4485074694
411	0.4484712447
412	0.4484329837
413	0.4483570199
414	0.4483020335
415	0.4482148722
416	0.4481610046
417	0.4481125889
418	0.4478299617
419	0.4477892901
420	0.4477564463
421	0.447715992
422	0.4475499317
423	0.447526418
424	0.447484358
425	0.4474404952
426	0.4473940408
427	0.4473489322
428	0.4472708796
429	0.4472260058
430	0.4470003687
431	0.4469438655
432	0.4469136502
433	0.4468525824
434	0.4467990717
435	0.4467558326
436	0.4466945172
437	0.446669195
438	0.4466480581
439	0.4463819001
440	0.4463261522
441	0.4463026036
442	0.446274853
443	0.4461935779
444	0.4461127221
445	0.4460968077
446	0.4460497791
447	0.4460169831
448	0.4459978407
449	0.4459093701
450	0.4458340228
451	0.4458036615
452	0.4457525949
453	0.4456993444
454	0.4456623036
455	0.4456489876
456	0.445583919
457	0.4455365797
458	0.4454971772
459	0.4454167645
460	0.4452742031
461	0.445229226
462	0.4450713807
463	0.4450404636
464	0.4449234802
465	0.4448884909
466	0.4448567054
467	0.4447727882
468	0.4447284343
469	0.444688199
470	0.4446609775
471	0.444633787
472	0.4445743668
473	0.4445474516
474	0.4445229819
475	0.4444594366
476	0.444182075
477	0.4441470404
478	0.4439473369
479	0.4438896274
480	0.4435343868
481	0.443521482
482	0.4434670326
483	0.4434137885
484	0.4433250329
485	0.4433093546
486	0.4431822579
487	0.4431089865
488	0.4430404953
489	0.4429699827
490	0.4429260818
491	0.4429069978
492	0.4428467536
493	0.4427696424
494	0.4427360281
495	0.4427020551
496	0.4426749438
497	0.4426044979
498	0.4425471987
499	0.442472783
500	0.4424038976
501	0.4423322744
502	0.4422889029
503	0.4422689712
504	0.4422007017
505	0.4420924066
506	0.4420521459
507	0.4420082463
508	0.441974572
509	0.4419507054
510	0.4419188658
511	0.4418912344
512	0.4418642701
513	0.4418321055
514	0.441798915
515	0.4417628312
516	0.4416338067
517	0.44158028
518	0.4414917959
519	0.4414448644
520	0.4413958924
521	0.441294665
522	0.4412477492
523	0.4412166329
524	0.4411964886
525	0.441163426
526	0.4411406416
527	0.4411070938
528	0.4410819864
529	0.4410590461
530	0.4410302329
531	0.4409812893
532	0.4409361898
533	0.4408794541
534	0.440849348
535	0.440788412
536	0.440708755
537	0.4406827127
538	0.440620272
539	0.4405883462
540	0.44053919
541	0.4405084864
542	0.4404820235
543	0.4403126004
544	0.4402831403
545	0.4402299607
546	0.4402086094
547	0.4401698353
548	0.4401389008
549	0.4401098978
550	0.4400433561
551	0.4399930167
552	0.4399562738
553	0.4399289998
554	0.4398967024
555	0.4398727334
556	0.4398417934
557	0.4398268589
558	0.4397822214
559	0.439760291
560	0.4397030905
561	0.4395023794
562	0.4394532824
563	0.4394229174
564	0.4393993721
565	0.4393414364
566	0.4393175886
567	0.4392791076
568	0.4392380581
569	0.4391875729
570	0.4391709814
571	0.439127958
572	0.4389542029
573	0.4389256717
574	0.4388292667
575	0.4387219274
576	0.4386927627
577	0.4386708816
578	0.4386521044
579	0.4386317715
580	0.4385929351
581	0.4385590214
582	0.4385250566
583	0.4384890406
584	0.4384280197
585	0.4384132685
586	0.4383939367
587	0.4382533703
588	0.4382255378
589	0.4382039647
590	0.4381930139
591	0.4381722182
