iter	Passed	Remaining
0	1330	1328940
1	2626	1310519
2	3862	1283788
3	5103	1270801
4	6410	1275641
5	7766	1286599
6	9147	1297624
7	10473	1298756
8	11875	1307591
9	13141	1301021
10	14400	1294751
11	15643	1287941
12	16843	1278820
13	18016	1268876
14	19232	1262939
15	20399	1254568
16	21561	1246767
17	22781	1242863
18	23959	1237063
19	25163	1233000
20	26347	1228286
21	27516	1223225
22	28739	1220823
23	29941	1217632
24	31125	1213886
25	32307	1210270
26	33538	1208643
27	34697	1204512
28	35905	1202227
29	37063	1198394
30	38236	1195190
31	39410	1192154
32	40584	1189258
33	41754	1186327
34	43088	1188014
35	44365	1188008
36	45550	1185531
37	46720	1182773
38	47881	1179861
39	49097	1178333
40	50271	1175857
41	51456	1173690
42	52687	1172606
43	53856	1170162
44	55107	1169503
45	56358	1168823
46	57776	1171504
47	59022	1170611
48	60175	1167889
49	61353	1165708
50	62521	1163392
51	63728	1161815
52	64959	1160693
53	66132	1158550
54	67323	1156736
55	68492	1154590
56	69666	1152556
57	70879	1151178
58	72035	1148912
59	73223	1147165
60	74418	1145550
61	75657	1144627
62	76975	1144855
63	78315	1145358
64	79511	1143741
65	80699	1142019
66	81998	1141856
67	83335	1142185
68	84804	1144246
69	86226	1145580
70	88145	1153341
71	89632	1155268
72	91260	1158883
73	92691	1159901
74	94043	1159869
75	95375	1159568
76	96708	1159251
77	98102	1159616
78	99514	1160165
79	100874	1160054
80	102208	1159629
81	103576	1159549
82	104991	1159962
83	106352	1159744
84	107698	1159341
85	109085	1159355
86	110472	1159322
87	112117	1161940
88	113642	1163240
89	115111	1163908
90	116564	1164360
91	117940	1164023
92	119343	1163922
93	120782	1164142
94	122207	1164186
95	123631	1164198
96	125068	1164301
97	126580	1165054
98	128056	1165446
99	129478	1165307
100	130824	1164464
101	132183	1163731
102	133539	1162957
103	134905	1162258
104	136309	1161875
105	137938	1163366
106	139457	1163887
107	140887	1163630
108	142266	1162927
109	143593	1161798
110	144959	1160979
111	146335	1160227
112	147754	1159806
113	149116	1158925
114	150490	1158120
115	151810	1156902
116	153122	1155614
117	154476	1154643
118	155959	1154620
119	157424	1154447
120	158892	1154265
121	160447	1154698
122	161836	1153904
123	163271	1153436
124	164702	1152920
125	166025	1151636
126	167359	1150434
127	168719	1149402
128	170255	1149555
129	171601	1148411
130	172926	1147124
131	174363	1146569
132	176064	1147729
133	177466	1146911
134	178960	1146672
135	180419	1146194
136	181820	1145335
137	183161	1144095
138	184755	1144422
139	186544	1145916
140	187915	1144817
141	189267	1143602
142	190638	1142499
143	192062	1141703
144	193449	1140686
145	194840	1139682
146	196153	1138225
147	197489	1136898
148	198895	1135975
149	200239	1134688
150	201617	1133597
151	202973	1132375
152	204307	1131035
153	205775	1130431
154	207153	1129322
155	208662	1128916
156	210007	1127617
157	211325	1126175
158	212757	1125341
159	214165	1124369
160	215952	1125366
161	217402	1124588
162	218813	1123601
163	220228	1122628
164	221598	1121420
165	222993	1120342
166	224411	1119372
167	225761	1118054
168	227125	1116814
169	228452	1115387
170	229855	1114330
171	231512	1114488
172	232994	1113795
173	234414	1112796
174	235820	1111726
175	237217	1110611
176	238714	1109953
177	240115	1108846
178	241541	1107850
179	242959	1106816
180	244365	1105718
181	245773	1104629
182	247291	1104027
183	248661	1102758
184	250058	1101610
185	251476	1100549
186	252870	1099379
187	254299	1098355
188	255670	1097081
189	257055	1095868
190	258524	1095008
191	260028	1094288
192	261456	1093239
193	262965	1092526
194	264437	1091653
195	265795	1090303
196	267107	1088769
197	268472	1087450
198	269985	1086723
