iter	Passed	Remaining
0	203	202865
1	401	200340
2	604	201005
3	820	204261
4	1063	211699
5	1313	217650
6	1561	221532
7	1812	224768
8	2061	226941
9	2313	228992
10	2562	230383
11	2809	231289
12	3055	232010
13	3308	232988
14	3556	233514
15	3806	234113
16	4064	235004
17	4315	235431
18	4570	236005
19	4828	236600
20	5092	237387
21	5356	238120
22	5609	238285
23	5865	238549
24	6135	239287
25	6412	240206
26	6670	240399
27	6955	241445
28	7244	242571
29	7543	243916
30	7828	244715
31	8126	245829
32	8388	245820
33	8644	245593
34	8894	245233
35	9145	244905
36	9393	244488
37	9642	244104
38	9895	243847
39	10143	243437
40	10397	243196
41	10655	243036
42	10901	242632
43	11156	242408
44	11402	241981
45	11650	241626
46	11900	241310
47	12149	240969
48	12399	240644
49	12652	240405
50	12902	240082
51	13149	239732
52	13400	239437
53	13652	239164
54	13896	238773
55	14156	238632
56	14409	238390
57	14670	238267
58	14933	238175
59	15188	237947
60	15454	237902
61	15705	237609
62	15968	237497
63	16239	237497
64	16492	237233
65	16738	236879
66	16990	236605
67	17242	236325
68	17493	236038
69	17739	235684
70	17991	235405
71	18237	235064
72	18486	234751
73	18739	234491
74	18988	234189
75	19238	233893
76	19486	233588
77	19738	233314
78	19991	233070
79	20247	232848
80	20500	232586
81	20746	232262
82	21005	232074
83	21271	231965
84	21553	232017
85	21813	231828
86	22076	231677
87	22333	231458
88	22595	231284
89	22859	231133
90	23125	231005
91	23388	230835
92	23647	230624
93	23911	230464
94	24201	230551
95	24466	230397
