Dataset,Row Index,fit_time_mean,fit_time_std_dev,f1_macro_mean,f1_macro_std_dev,f1_weighted_mean,f1_weighted_std_dev,vectorizer,ngram_range,preprocessor,max_df,learning_rate,n_estimators,rsm,depth,classifier,colsample_bytree,max_depth
d1,0,33.03990920384725,0.2395741533971908,0.6702637352867765,0.005717086802543003,0.7800325373103562,0.005101890602627162,CountVectorizer,"[1, 1]",SnowBallStemmer,0.5,0.001,1000,0.75,6.0,CatBoost,,
d1,1,76.08390935262044,2.0093649251243293,0.6994754374602038,0.005821619704660002,0.8058436711483163,0.0050170455124185845,CountVectorizer,"[1, 1]",SnowBallStemmer,0.5,0.001,1000,0.75,10.0,CatBoost,,
d1,2,34.25608944892883,0.5257542839082096,0.6697746989971188,0.005554746803801157,0.7796494326237337,0.004887951191032505,CountVectorizer,"[1, 1]",SnowBallStemmer,0.5,0.001,1000,1.0,6.0,CatBoost,,
d1,3,76.33992811044057,0.6145575833107404,0.6992901688646173,0.005361868814546306,0.80573432535019,0.004547746129934875,CountVectorizer,"[1, 1]",SnowBallStemmer,0.5,0.001,1000,1.0,10.0,CatBoost,,
d1,4,8.599487741788229,1.5429952397561535,0.724270826577064,0.004741030115310937,0.8277219289064045,0.0038452563869074926,CountVectorizer,"[1, 1]",SnowBallStemmer,0.5,0.1,1000,0.75,6.0,CatBoost,,
d1,5,14.32163393497467,1.1456184661898805,0.7244585738085588,0.0035669740792073266,0.828444686718019,0.003034574821267519,CountVectorizer,"[1, 1]",SnowBallStemmer,0.5,0.1,1000,0.75,10.0,CatBoost,,
d1,6,8.536416927973429,1.0578071974179302,0.7226565553188821,0.0039000842280957544,0.8265030214396822,0.003508197952004536,CountVectorizer,"[1, 1]",SnowBallStemmer,0.5,0.1,1000,1.0,6.0,CatBoost,,
d1,7,14.825903018315634,1.7836300020965652,0.7263351087403892,0.004723814587874229,0.829885716391466,0.003966816907594258,CountVectorizer,"[1, 1]",SnowBallStemmer,0.5,0.1,1000,1.0,10.0,CatBoost,,
d1,8,34.06251001358032,0.12656989397409435,0.6702637352867765,0.005717086802543003,0.7800325373103562,0.005101890602627162,CountVectorizer,"[1, 1]",SnowBallStemmer,0.9,0.001,1000,0.75,6.0,CatBoost,,
d1,9,76.01266980171204,1.8322298428716612,0.6994754374602038,0.005821619704660002,0.8058436711483163,0.0050170455124185845,CountVectorizer,"[1, 1]",SnowBallStemmer,0.9,0.001,1000,0.75,10.0,CatBoost,,
d1,10,34.362186431884766,0.18901040278480344,0.6697746989971188,0.005554746803801157,0.7796494326237337,0.004887951191032505,CountVectorizer,"[1, 1]",SnowBallStemmer,0.9,0.001,1000,1.0,6.0,CatBoost,,
